customer_id,avg_transaction_value
C6521,3022.2190909090914
C1602,2063.39
C1524,2206.7623529411762
C1100,2515.874666666667
C5725,1696.3029999999999
C1571,1998.8246153846155
C3970,2054.3430769230768
C8007,2746.4
C6966,1786.7494444444444
C2430,2887.8577777777778
C2207,2788.6279999999997
C2367,3651.2528571428566
C8196,1841.320909090909
C2777,2134.5944444444444
C7299,2834.363888888889
C7031,2253.9493333333335
C8178,1693.7783333333334
C2320,1881.1826666666666
C9225,2211.704705882353
C2983,2299.855
C4932,1623.851111111111
C1842,2567.8546153846155
C2100,2950.378421052632
C2843,2588.0966666666664
C5169,1251.2507692307693
C6091,2217.23
C8907,2695.4964705882353
C5733,2920.568
C8387,1909.1714285714286
C4276,1817.9277777777777
C8111,2480.1992307692303
C6174,2483.355454545455
C5236,2277.7085714285713
C8618,1835.7312499999998
C6406,2184.2121052631583
C4980,1660.480909090909
C1804,1989.9544444444446
C9587,2251.283846153846
C4863,3041.8307142857143
C8368,2355.2635714285716
C5219,2733.284
C8849,1909.598181818182
C1875,2713.0919999999996
C4202,1782.07625
C2490,3490.845714285714
C5745,2124.3765
C3029,2795.7778947368424
C5934,1960.5352631578946
C3280,1685.0833333333333
C7927,2396.3340000000003
C7995,1295.8371428571427
C6502,2934.2777777777774
C6832,2471.580833333333
C7413,3407.7755555555555
C2243,2719.2028571428573
C9224,1924.3281249999998
C3620,3033.1375000000003
C3981,2161.1042857142857
C3397,2820.633333333333
C8230,2365.8773333333334
C1628,1880.4739999999997
C7810,1714.1364705882352
C7341,2690.533076923077
C9605,2811.006875
C5835,2322.845714285714
C1305,1695.1390909090908
C3178,2357.532857142857
C9082,3004.016428571428
C2846,3110.5381250000005
C3424,2350.8506666666667
C1774,2633.35
C5839,3641.148571428571
C5490,2479.9643750000005
C8477,2778.60875
C4566,1921.916842105263
C4112,2063.9185714285713
C8090,2456.595714285714
C3109,1741.5543750000002
C5055,1852.2330769230769
C4141,1802.6771428571428
C8112,1991.7424999999998
C9405,2470.719
C1829,2692.5241666666666
C5984,1938.6600000000003
C5974,4757.512000000001
C2178,2692.561538461538
C1482,2331.1099999999997
C7923,2019.6938461538462
